sid,name,iso_time,lat,lon,wind_kts,wind_kmh,mslp_hpa,agency
2020136N10088,AMPHAN,2020-05-15 06:00:00,9.5,87.5,,,,
2020136N10088,AMPHAN,2020-05-15 09:00:00,9.5,87.2,,,,
2020136N10088,AMPHAN,2020-05-15 12:00:00,9.5,87.0,,,,
2020136N10088,AMPHAN,2020-05-15 15:00:00,9.5,86.8,,,,
2020136N10088,AMPHAN,2020-05-15 18:00:00,9.5,86.6,,,,
2020136N10088,AMPHAN,2020-05-15 21:00:00,9.6,86.5,,,,
2020136N10088,AMPHAN,2020-05-16 00:00:00,9.8,86.4,25.0,46.3,1000.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 03:00:00,10.1,86.2,25.0,46.3,1000.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 06:00:00,10.3,86.1,25.0,46.3,1000.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 09:00:00,10.5,86.1,30.0,55.6,998.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 12:00:00,10.6,86.2,35.0,64.8,996.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 15:00:00,10.8,86.1,40.0,74.1,995.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 18:00:00,10.9,86.1,40.0,74.1,995.0,newdelhi
2020136N10088,AMPHAN,2020-05-16 21:00:00,11.1,86.1,45.0,83.3,994.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 00:00:00,11.2,86.1,45.0,83.3,993.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 03:00:00,11.3,86.1,50.0,92.6,990.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 06:00:00,11.5,86.2,55.0,101.9,988.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 09:00:00,11.6,86.2,65.0,120.4,980.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 12:00:00,11.9,86.2,70.0,129.6,978.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 15:00:00,12.5,86.4,75.0,138.9,972.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 18:00:00,12.5,86.4,80.0,148.2,970.0,newdelhi
2020136N10088,AMPHAN,2020-05-17 21:00:00,12.9,86.5,90.0,166.7,962.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 00:00:00,13.2,86.4,100.0,185.2,952.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 03:00:00,13.3,86.2,115.0,213.0,936.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 06:00:00,13.4,86.2,120.0,222.2,930.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 09:00:00,13.7,86.2,120.0,222.2,930.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 12:00:00,14.1,86.4,125.0,231.5,926.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 15:00:00,14.5,86.5,125.0,231.5,926.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 18:00:00,14.9,86.6,130.0,240.8,920.0,newdelhi
2020136N10088,AMPHAN,2020-05-18 21:00:00,15.2,86.7,130.0,240.8,920.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 00:00:00,15.6,86.8,125.0,231.5,926.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 03:00:00,16.0,86.9,120.0,222.2,930.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 06:00:00,16.5,87.0,115.0,213.0,936.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 09:00:00,16.9,87.0,110.0,203.7,942.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 12:00:00,17.3,87.1,105.0,194.5,946.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 15:00:00,17.9,87.1,100.0,185.2,948.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 18:00:00,18.3,87.2,100.0,185.2,948.0,newdelhi
2020136N10088,AMPHAN,2020-05-19 21:00:00,18.7,87.3,100.0,185.2,948.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 00:00:00,19.2,87.5,95.0,175.9,952.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 03:00:00,19.8,87.7,95.0,175.9,954.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 06:00:00,20.6,88.0,90.0,166.7,956.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 09:00:00,21.4,88.1,90.0,166.7,960.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 12:00:00,22.1,88.4,85.0,157.4,957.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 15:00:00,22.8,88.6,65.0,120.4,968.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 18:00:00,23.5,89.1,50.0,92.6,978.0,newdelhi
2020136N10088,AMPHAN,2020-05-20 21:00:00,24.3,89.3,45.0,83.3,986.0,newdelhi
2020136N10088,AMPHAN,2020-05-21 00:00:00,24.6,89.6,40.0,74.1,988.0,newdelhi
2020136N10088,AMPHAN,2020-05-21 03:00:00,25.1,89.9,35.0,64.8,990.0,newdelhi
2020136N10088,AMPHAN,2020-05-21 06:00:00,25.4,90.1,30.0,55.6,992.0,newdelhi
2020136N10088,AMPHAN,2020-05-21 09:00:00,25.2,89.6,,,,
2020136N10088,AMPHAN,2020-05-21 12:00:00,25.4,89.6,20.0,37.0,995.0,newdelhi
