sid,name,iso_time,lat,lon,wind_kts,wind_kmh,mslp_hpa,agency
2019116N02090,FANI,2019-04-25 18:00:00,1.9,90.2,,,,
2019116N02090,FANI,2019-04-25 21:00:00,2.1,90.1,,,,
2019116N02090,FANI,2019-04-26 00:00:00,2.2,90.0,,,,
2019116N02090,FANI,2019-04-26 03:00:00,2.3,89.8,,,,
2019116N02090,FANI,2019-04-26 06:00:00,2.5,89.7,,,,
2019116N02090,FANI,2019-04-26 09:00:00,2.8,89.8,,,,
2019116N02090,FANI,2019-04-26 12:00:00,3.2,89.8,25.0,46.3,998.0,newdelhi
2019116N02090,FANI,2019-04-26 15:00:00,3.5,89.7,,,,
2019116N02090,FANI,2019-04-26 18:00:00,3.8,89.5,25.0,46.3,998.0,newdelhi
2019116N02090,FANI,2019-04-26 21:00:00,4.2,89.4,,,,
2019116N02090,FANI,2019-04-27 00:00:00,4.6,89.4,30.0,55.6,997.0,newdelhi
2019116N02090,FANI,2019-04-27 03:00:00,4.9,89.4,30.0,55.6,996.0,newdelhi
2019116N02090,FANI,2019-04-27 06:00:00,5.1,89.4,35.0,64.8,995.0,newdelhi
2019116N02090,FANI,2019-04-27 09:00:00,5.5,89.3,40.0,74.1,994.0,newdelhi
2019116N02090,FANI,2019-04-27 12:00:00,6.0,89.2,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-27 15:00:00,6.4,88.9,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-27 18:00:00,6.6,88.5,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-27 21:00:00,6.8,88.2,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 00:00:00,7.1,88.1,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 03:00:00,7.2,88.1,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 06:00:00,7.4,88.1,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 09:00:00,7.6,87.9,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 12:00:00,8.0,87.6,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 15:00:00,8.1,87.5,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 18:00:00,8.2,87.5,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-28 21:00:00,8.4,87.4,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-29 00:00:00,8.6,87.4,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-29 03:00:00,8.8,87.2,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-29 06:00:00,9.3,87.2,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-29 09:00:00,9.8,87.1,45.0,83.3,992.0,newdelhi
2019116N02090,FANI,2019-04-29 12:00:00,10.2,87.1,55.0,101.9,986.0,newdelhi
2019116N02090,FANI,2019-04-29 15:00:00,10.5,86.9,55.0,101.9,986.0,newdelhi
2019116N02090,FANI,2019-04-29 18:00:00,10.9,86.8,55.0,101.9,986.0,newdelhi
2019116N02090,FANI,2019-04-29 21:00:00,11.3,86.6,65.0,120.4,982.0,newdelhi
2019116N02090,FANI,2019-04-30 00:00:00,11.8,86.5,70.0,129.6,980.0,newdelhi
2019116N02090,FANI,2019-04-30 03:00:00,12.3,86.2,75.0,138.9,974.0,newdelhi
2019116N02090,FANI,2019-04-30 06:00:00,12.7,85.8,80.0,148.2,970.0,newdelhi
2019116N02090,FANI,2019-04-30 09:00:00,13.0,85.3,85.0,157.4,966.0,newdelhi
