sid,name,iso_time,lat,lon,wind_kts,wind_kmh,mslp_hpa,agency
2021143N15090,YAAS,2021-05-23 00:00:00,15.5,90.0,,,,
2021143N15090,YAAS,2021-05-23 03:00:00,15.4,89.9,,,,
2021143N15090,YAAS,2021-05-23 06:00:00,15.6,89.8,25.0,46.3,996.0,newdelhi
2021143N15090,YAAS,2021-05-23 09:00:00,15.6,89.7,,,,
2021143N15090,YAAS,2021-05-23 12:00:00,15.7,89.6,25.0,46.3,994.0,newdelhi
2021143N15090,YAAS,2021-05-23 15:00:00,15.8,89.5,,,,
2021143N15090,YAAS,2021-05-23 18:00:00,15.8,89.5,30.0,55.6,992.0,newdelhi
2021143N15090,YAAS,2021-05-23 21:00:00,16.0,89.6,,,,
2021143N15090,YAAS,2021-05-24 00:00:00,16.1,89.8,35.0,64.8,990.0,newdelhi
2021143N15090,YAAS,2021-05-24 03:00:00,16.5,89.7,40.0,74.1,988.0,newdelhi
2021143N15090,YAAS,2021-05-24 06:00:00,16.6,89.6,40.0,74.1,988.0,newdelhi
2021143N15090,YAAS,2021-05-24 09:00:00,16.9,89.6,40.0,74.1,988.0,newdelhi
2021143N15090,YAAS,2021-05-24 12:00:00,17.2,89.4,45.0,83.3,986.0,newdelhi
2021143N15090,YAAS,2021-05-24 15:00:00,17.4,89.2,45.0,83.3,986.0,newdelhi
2021143N15090,YAAS,2021-05-24 18:00:00,17.6,89.0,50.0,92.6,984.0,newdelhi
2021143N15090,YAAS,2021-05-24 21:00:00,17.8,88.9,55.0,101.9,982.0,newdelhi
2021143N15090,YAAS,2021-05-25 00:00:00,18.1,88.6,55.0,101.9,980.0,newdelhi
2021143N15090,YAAS,2021-05-25 03:00:00,18.4,88.4,55.0,101.9,980.0,newdelhi
2021143N15090,YAAS,2021-05-25 06:00:00,18.8,88.2,60.0,111.1,978.0,newdelhi
2021143N15090,YAAS,2021-05-25 09:00:00,19.1,88.2,60.0,111.1,978.0,newdelhi
2021143N15090,YAAS,2021-05-25 12:00:00,19.5,88.2,65.0,120.4,976.0,newdelhi
2021143N15090,YAAS,2021-05-25 15:00:00,19.9,88.0,65.0,120.4,976.0,newdelhi
2021143N15090,YAAS,2021-05-25 18:00:00,20.3,87.8,70.0,129.6,974.0,newdelhi
2021143N15090,YAAS,2021-05-25 21:00:00,20.4,87.7,75.0,138.9,970.0,newdelhi
2021143N15090,YAAS,2021-05-26 00:00:00,20.6,87.6,75.0,138.9,970.0,newdelhi
2021143N15090,YAAS,2021-05-26 03:00:00,21.1,87.2,75.0,138.9,970.0,newdelhi
2021143N15090,YAAS,2021-05-26 06:00:00,21.5,86.9,75.0,138.9,970.0,newdelhi
2021143N15090,YAAS,2021-05-26 09:00:00,21.7,86.6,55.0,101.9,978.0,newdelhi
2021143N15090,YAAS,2021-05-26 12:00:00,21.9,86.5,45.0,83.3,984.0,newdelhi
2021143N15090,YAAS,2021-05-26 15:00:00,22.2,86.1,40.0,74.1,986.0,newdelhi
2021143N15090,YAAS,2021-05-26 18:00:00,22.5,85.8,30.0,55.6,988.0,newdelhi
2021143N15090,YAAS,2021-05-26 21:00:00,22.8,85.7,,,,
2021143N15090,YAAS,2021-05-27 00:00:00,23.1,85.7,30.0,55.6,988.0,newdelhi
2021143N15090,YAAS,2021-05-27 03:00:00,23.3,85.7,30.0,55.6,990.0,newdelhi
2021143N15090,YAAS,2021-05-27 06:00:00,23.6,85.6,25.0,46.3,991.0,newdelhi
2021143N15090,YAAS,2021-05-27 09:00:00,23.9,85.5,,,,
2021143N15090,YAAS,2021-05-27 12:00:00,24.3,85.3,25.0,46.3,992.0,newdelhi
2021143N15090,YAAS,2021-05-27 15:00:00,24.5,85.1,,,,
2021143N15090,YAAS,2021-05-27 18:00:00,24.7,84.8,25.0,46.3,992.0,newdelhi
